model,geometry_index,band,threshold,n_nodes,mae,rmse,bias
MATCH_250K,2093,log_life_lt_2,2.0,2,0.28881776332855225,0.29520928859710693,0.28881776332855225
MATCH_250K,2093,log_life_lt_3,3.0,4,0.1973974108695984,0.2232770025730133,0.12620455026626587
MATCH_250K,2093,log_life_lt_4,4.0,16,0.11333869397640228,0.14785310626029968,0.04901133477687836
MATCH_250K,2093,log_life_lt_5,5.0,132,0.029775159433484077,0.06590545177459717,-0.0017831234727054834
MATCH_250K,2093,log_life_lt_6,6.0,269,0.02602555975317955,0.06366603821516037,-0.0012453559320420027
MATCH_250K,2187,all,all,679,0.01670028641819954,0.04579564929008484,-0.00010853241838049144
MATCH_250K,2187,log_life_lt_2,2.0,0,nan,nan,nan
MATCH_250K,2187,log_life_lt_3,3.0,5,0.15394577383995056,0.20275218784809113,-0.14223924279212952
MATCH_250K,2187,log_life_lt_4,4.0,17,0.15760190784931183,0.2197064310312271,-0.0031714579090476036
MATCH_250K,2187,log_life_lt_5,5.0,97,0.039419177919626236,0.0950033888220787,-0.0012064004549756646
MATCH_250K,2187,log_life_lt_6,6.0,247,0.02253228984773159,0.06406702101230621,0.00167635187972337
MATCH_250K,3036,all,all,679,0.02206001617014408,0.05413506180047989,0.006077609024941921
MATCH_250K,3036,log_life_lt_2,2.0,3,0.2952648401260376,0.30796459317207336,0.2952648401260376
